date,total_cases_portugal,total_deaths_portugal,cfr_portugal,total_cases_mundo,total_deaths_mundo,cfr_mundo
2020-10-25,118382,2356,1.9901674241016372,43473310,1244387,2.862416043314852
2020-10-26,118382,2356,1.9901674241016372,43825331,1249793,2.8517594082746345
2020-10-27,118382,2356,1.9901674241016372,44129201,1254769,2.843398410952421
2020-10-28,118382,2356,1.9901674241016372,44514902,1260263,2.8311036155937175
2020-10-29,118382,2356,1.9901674241016372,44932401,1266334,2.8183092196653368
2020-10-30,118382,2356,1.9901674241016372,45360893,1272658,2.8056281872581303
2020-10-31,118382,2356,1.9901674241016372,45798117,1278938,2.7925558598839335
2020-11-01,141676,2601,1.8358790479686045,46999664,1293880,2.7529558509184238
2020-11-02,141676,2601,1.8358790479686045,47379416,1299837,2.7434635327712775
2020-11-03,141676,2601,1.8358790479686045,47786236,1305444,2.7318410263574644
2020-11-04,141676,2601,1.8358790479686045,48200065,1311630,2.721220396694486
2020-11-05,141676,2601,1.8358790479686045,48648037,1318689,2.7106725806839855
2020-11-06,141676,2601,1.8358790479686045,49130072,1326249,2.6994648002958352
2020-11-07,141676,2601,1.8358790479686045,49620087,1333976,2.688379002640604
2020-11-08,173999,2978,1.7115040891039606,50857111,1352931,2.660259250668014
2020-11-09,173999,2978,1.7115040891039606,51298236,1359345,2.6498864405395928
2020-11-10,173999,2978,1.7115040891039606,51694342,1365755,2.6419815924922694
2020-11-11,173999,2978,1.7115040891039606,52159567,1372901,2.632117325667217
2020-11-12,173999,2978,1.7115040891039606,52672247,1380930,2.621741198927777
2020-11-13,173999,2978,1.7115040891039606,53216596,1388842,2.6097911260615017
2020-11-14,173999,2978,1.7115040891039606,53754200,1397031,2.598924363119533
2020-11-15,208570,3505,1.680490962266865,54906226,1418351,2.583224350549972
2020-11-16,208570,3505,1.680490962266865,55384506,1426391,2.5754332809251745
2020-11-17,208570,3505,1.680490962266865,55804717,1433165,2.5681789587786996
2020-11-18,208570,3505,1.680490962266865,56277789,1440458,2.5595497363977824
2020-11-19,208570,3505,1.680490962266865,56815683,1449387,2.551033312404253
2020-11-20,208570,3505,1.680490962266865,57360091,1458531,2.5427627023813475
2020-11-21,208570,3505,1.680490962266865,57912761,1467885,2.5346486243334176
2020-11-22,245439,3985,1.6236213478705501,59016858,1491825,2.5277946853761684
2020-11-23,245439,3985,1.6236213478705501,59500550,1499960,2.520917873868393
2020-11-24,245439,3985,1.6236213478705501,59927661,1508068,2.5164806615762965
2020-11-25,245439,3985,1.6236213478705501,60410040,1516747,2.5107531794383844
2020-11-26,245439,3985,1.6236213478705501,60937410,1525989,2.504190775420222
2020-11-27,245439,3985,1.6236213478705501,61521608,1535879,2.4964870879187684
2020-11-28,245439,3985,1.6236213478705501,62039231,1544930,2.4902468568638447
2020-11-29,278714,4517,1.6206577351693852,63038870,1568000,2.487354230810292
2020-11-30,278714,4517,1.6206577351693852,63512349,1575932,2.4813001326718367
2020-12-01,278714,4517,1.6206577351693852,63945562,1583936,2.477006926610482
2020-12-02,278714,4517,1.6206577351693852,64428313,1592664,2.4719939508582196
2020-12-03,278714,4517,1.6206577351693852,64998776,1602547,2.465503350401552
2020-12-04,278714,4517,1.6206577351693852,65593697,1613055,2.459161586821368
2020-12-05,278714,4517,1.6206577351693852,66191189,1623417,2.4526179760874216
2020-12-06,305179,5051,1.655094223390207,67239529,1647444,2.4501123438862877
2020-12-07,305179,5051,1.655094223390207,67756785,1656133,2.4442319687984013
2020-12-08,305179,5051,1.655094223390207,68221127,1663909,2.4389937152460117
2020-12-09,305179,5051,1.655094223390207,68735458,1673115,2.4341366867738046
2020-12-10,305179,5051,1.655094223390207,69337471,1682864,2.427062850330956
2020-12-11,305179,5051,1.655094223390207,69937378,1694030,2.4222097659995203
2020-12-12,305179,5051,1.655094223390207,70522496,1704120,2.4164204284544892
2020-12-13,331138,5660,1.7092571677065151,71633853,1729905,2.414926640899799
2020-12-14,331138,5660,1.7092571677065151,72159217,1738910,2.4098238205661238
2020-12-15,331138,5660,1.7092571677065151,72624898,1747413,2.406079799244606
2020-12-16,331138,5660,1.7092571677065151,73169871,1756874,2.401089377347679
2020-12-17,331138,5660,1.7092571677065151,73744181,1767309,2.396540277530508
2020-12-18,331138,5660,1.7092571677065151,74386167,1778322,2.3906622315947534
2020-12-19,331138,5660,1.7092571677065151,75029422,1789706,2.3853389141129195
2020-12-20,357324,6203,1.735959521330781,76176152,1815595,2.383416531725047
2020-12-21,357324,6203,1.735959521330781,76695609,1825151,2.37973336909027
2020-12-22,357324,6203,1.735959521330781,77172885,1833818,2.376246527520644
2020-12-23,357324,6203,1.735959521330781,77699247,1843451,2.3725468021588423
2020-12-24,357324,6203,1.735959521330781,78291669,1854316,2.36847166969962
2020-12-25,357324,6203,1.735959521330781,78878303,1865137,2.364575465068005
2020-12-26,357324,6203,1.735959521330781,79422569,1875192,2.361031660912404
2020-12-27,377474,6695,1.7736320912168786,80293964,1897386,2.3630493569852895
2020-12-28,377474,6695,1.7736320912168786,80700830,1905564,2.361269394627044
2020-12-29,377474,6695,1.7736320912168786,81146425,1914508,2.359325133547165
2020-12-30,377474,6695,1.7736320912168786,81659886,1924645,2.3569038536252673
2020-12-31,377474,6695,1.7736320912168786,82312579,1936601,2.3527400350315837
2021-01-01,377474,6695,1.7736320912168786,82973505,1948957,2.3488907694088614
2021-01-02,377474,6695,1.7736320912168786,83564147,1960226,2.3457739597341907
2021-01-03,409980,7225,1.7622810868822871,84540436,1983681,2.3464286368241583
2021-01-04,409980,7225,1.7622810868822871,85057873,1992834,2.3429153936167673
2021-01-05,409980,7225,1.7622810868822871,85580175,2001702,2.338978624430249
2021-01-06,409980,7225,1.7622810868822871,86150533,2012030,2.3354817781568458
2021-01-07,409980,7225,1.7622810868822871,86835535,2024329,2.3312218897482464
2021-01-08,409980,7225,1.7622810868822871,87529947,2036799,2.32697387558112
2021-01-09,409980,7225,1.7622810868822871,88248569,2050080,2.3230744965394283
2021-01-10,463029,7970,1.7212744774085422,89546822,2076030,2.3183737330175718
2021-01-11,463029,7970,1.7212744774085422,90155760,2087434,2.3153639878361627
2021-01-12,463029,7970,1.7212744774085422,90696773,2098107,2.3133204529779685
2021-01-13,463029,7970,1.7212744774085422,91261228,2109925,2.3119620963241916
2021-01-14,463029,7970,1.7212744774085422,91889275,2123264,2.310676626842469
2021-01-15,463029,7970,1.7212744774085422,92512005,2137003,2.3099737163841603
2021-01-16,463029,7970,1.7212744774085422,93128205,2150266,2.3089310053812375
2021-01-17,525130,9079,1.7289052234684743,94398595,2176998,2.306176273068471
2021-01-18,525130,9079,1.7289052234684743,94929985,2189056,2.3059689728171766
2021-01-19,525130,9079,1.7289052234684743,95399171,2200281,2.306394255773984
2021-01-20,525130,9079,1.7289052234684743,95871569,2212025,2.3072794396428415
2021-01-21,525130,9079,1.7289052234684743,96388177,2224991,2.308365060167078
2021-01-22,525130,9079,1.7289052234684743,96942043,2239162,2.309794523311212
2021-01-23,525130,9079,1.7289052234684743,97469278,2252776,2.311267761724879
2021-01-24,606806,10777,1.7760206721752916,98624135,2280713,2.312530294942511
2021-01-25,606806,10777,1.7760206721752916,99076912,2292450,2.313808488500328
2021-01-26,606806,10777,1.7760206721752916,99457080,2303512,2.316086496808473
2021-01-27,606806,10777,1.7760206721752916,99879059,2315013,2.317816190078443
2021-01-28,606806,10777,1.7760206721752916,100355187,2328736,2.320493907305459
2021-01-29,606806,10777,1.7760206721752916,100848903,2342284,2.3225676535123045
2021-01-30,606806,10777,1.7760206721752916,101323347,2355469,2.3247050849988207
2021-01-31,685673,12791,1.8654664832945151,102358500,2381367,2.32649657820308
2021-02-01,685673,12791,1.8654664832945151,102755861,2392288,2.3281280276557657
2021-02-02,685673,12791,1.8654664832945151,103086827,2402150,2.3302201356920222
